scode,scount,ssum,spercent,sdate
140321,1044,0,0.0000,2013/1/3 0:00:00
140322,1856,0,0.0000,2013/1/3 0:00:00
140402,42,0,0.0000,2013/1/3 0:00:00
140411,177,0,0.0000,2013/1/3 0:00:00
140421,234,0,0.0000,2013/1/3 0:00:00
140423,780,3,0.3846,2013/1/3 0:00:00
140424,787,6,0.7624,2013/1/3 0:00:00
140425,1419,17,1.1980,2013/1/3 0:00:00
140426,959,34,3.5454,2013/1/3 0:00:00
140427,759,0,0.0000,2013/1/3 0:00:00
140428,728,0,0.0000,2013/1/3 0:00:00
140429,1050,3,0.2857,2013/1/3 0:00:00
140430,893,7,0.7839,2013/1/3 0:00:00
140431,1582,0,0.0000,2013/1/3 0:00:00
140481,414,6,1.4493,2013/1/3 0:00:00
140502,157,0,0.0000,2013/1/3 0:00:00
140521,1760,0,0.0000,2013/1/3 0:00:00
140522,1105,0,0.0000,2013/1/3 0:00:00
140524,1284,0,0.0000,2013/1/3 0:00:00
140525,1237,0,0.0000,2013/1/3 0:00:00
140581,618,0,0.0000,2013/1/3 0:00:00
140602,996,134,13.4538,2013/1/3 0:00:00
140603,1592,859,53.9573,2013/1/3 0:00:00
140621,1000,43,4.3000,2013/1/3 0:00:00
140622,1086,356,32.7808,2013/1/3 0:00:00
140623,1268,736,58.0442,2013/1/3 0:00:00
140624,890,71,7.9775,2013/1/3 0:00:00
140702,858,0,0.0000,2013/1/3 0:00:00
140721,1107,1,0.0903,2013/1/3 0:00:00
140722,1482,0,0.0000,2013/1/3 0:00:00
140723,1507,0,0.0000,2013/1/3 0:00:00
140724,1515,0,0.0000,2013/1/3 0:00:00
140725,1501,0,0.0000,2013/1/3 0:00:00
140726,745,0,0.0000,2013/1/3 0:00:00
140727,518,0,0.0000,2013/1/3 0:00:00
140728,810,0,0.0000,2013/1/3 0:00:00
140729,817,0,0.0000,2013/1/3 0:00:00
140781,488,0,0.0000,2013/1/3 0:00:00
140802,745,0,0.0000,2013/1/3 0:00:00
140821,858,0,0.0000,2013/1/3 0:00:00
140822,498,0,0.0000,2013/1/3 0:00:00
140823,800,0,0.0000,2013/1/3 0:00:00
140824,420,0,0.0000,2013/1/3 0:00:00
140825,396,0,0.0000,2013/1/3 0:00:00
140826,580,0,0.0000,2013/1/3 0:00:00
140827,1119,0,0.0000,2013/1/3 0:00:00
140828,944,0,0.0000,2013/1/3 0:00:00
140829,720,0,0.0000,2013/1/3 0:00:00
140830,809,0,0.0000,2013/1/3 0:00:00
140881,669,0,0.0000,2013/1/3 0:00:00
140882,405,0,0.0000,2013/1/3 0:00:00
140902,1362,6,0.4405,2013/1/3 0:00:00
140921,520,0,0.0000,2013/1/3 0:00:00
140922,2092,130,6.2141,2013/1/3 0:00:00
140923,1296,131,10.1080,2013/1/3 0:00:00
140924,1746,634,36.3116,2013/1/3 0:00:00
140925,1481,320,21.6070,2013/1/3 0:00:00
140926,1363,48,3.5216,2013/1/3 0:00:00
140927,1081,571,52.8215,2013/1/3 0:00:00
140928,896,384,42.8571,2013/1/3 0:00:00
140929,1376,246,17.8779,2013/1/3 0:00:00
140930,937,56,5.9765,2013/1/3 0:00:00
140931,624,0,0.0000,2013/1/3 0:00:00
140932,1049,391,37.2736,2013/1/3 0:00:00
140981,1627,25,1.5366,2013/1/3 0:00:00
141002,848,0,0.0000,2013/1/3 0:00:00
141021,275,0,0.0000,2013/1/3 0:00:00
141022,744,0,0.0000,2013/1/3 0:00:00
141023,650,0,0.0000,2013/1/3 0:00:00
141024,924,0,0.0000,2013/1/3 0:00:00
141025,696,7,1.0057,2013/1/3 0:00:00
141026,1378,0,0.0000,2013/1/3 0:00:00
141027,576,0,0.0000,2013/1/3 0:00:00
141028,1087,0,0.0000,2013/1/3 0:00:00
